"","demo.CandID","demo.age_bin","demo.age","name","value"
"37",601017,31,32.9,"II_D_1","I pooped in the potty and not in my underwear.//I need the carrot please [NAME1] (brother).//Here come's Mr. Broccoli and here comes [NAME2]! [PII Reviewed]"
"38",234130,25,26,"II_D_1","1. I not go see friends, mommy. //2. [NAME] runned away. //3. I go night-night mommy. [PII Reviewed]"
"39",234130,31,31.6,"II_D_1","You have to go to work mommy? I want to go to the park and swing and slide. [PII Reviewed]"
"40",676274,25,26.3,"II_D_1","momma/daddy go to work//i don't like it//i drink the milk [PII Reviewed]"
"41",676274,31,31.1,"II_D_1","I cook dinner for you//I drive mommy's car//I wanna watch Daniel Tiger [PII Reviewed]"
"42",676274,37,37.7,"II_D_1","I want a snack before dinner, Daddy.//First we go potty, then nap, then make cookies, then go outside.//Can we go to Grandma's house? [PII Reviewed]"
"43",176851,32,32.1,"II_D_1","Mama go work. Stay my house. I see choo-choo. [PII Reviewed]"
"44",176851,38,38.3,"II_D_1","I need a new sucker. Mom come upstairs and bring my race cars. I don't want chicken and potatoes. [PII Reviewed]"
"45",519250,28,28.1,"II_D_1","House finished yet? (when driving by a construction site)//""Waffle fall down"" (when food falls on the floor)//""Mommy go to work"" [PII Reviewed]"
"46",519250,34,35.9,"II_D_1","Can I have a bite of your waffle?//""Can I climb on your head?""//""Is tomorrow a stay home day?"" [PII Reviewed]"
"47",826360,29,29.7,"II_D_1","My grandma is your mommy and Grandpa is your daddy. Farfar (grandpa) and Grandma [NAME] (passed away 10 years ago) belong to daddy. I want to go with and dig in the dirt. [PII Reviewed]"
"48",826360,35,35,"II_D_1","I don't want to go to sleep, I want to be nocturnal.//I'm so exciting, we are going to the science museum today!//[NAME1] was there, but [NAME2] was at school. [PII Reviewed]"
"49",908191,28,28.7,"II_D_1","there is no limit, he rambles coherent sentences.////""Mommy, I want to go to the park and play on the slide that is so big and tall!"" then goes into details about the park for example [PII Reviewed]"
"50",908191,34,34.4,"II_D_1","Sings full songs, twinkle twinkle, if youre happy and you know it. Can carry on a full conversation [PII Reviewed]"
"51",583494,32,33,"II_D_1","I go on bus//Mommy lay with me//I tired, put pajamas on [PII Reviewed]"
"52",107842,25,25.8,"II_D_1","I dont know//Where did it go//where is it [PII Reviewed]"
"53",107842,31,31.3,"II_D_1","Did puppy go outside to go potty?//Did mommy take a shower?//Is daddy at work now mommy? [PII Reviewed]"
"54",830201,31,31.6,"II_D_1","I don't need a diaper change now.////Did daddy go to work, Momma?////[NAME], where are you, [NAME]?//// [PII Reviewed]"
"55",830201,37,38,"II_D_1","I hit the ball over the fence.//Did we go swimming today?//I want hot dogs for dinner but [NAME] doesn't. [PII Reviewed]"
"56",722612,30,30.1,"II_D_1","My friend [NAME] is in the Nature room.//Went down to the gym and watch animal videos.//I gotta big prize for going pee pee on the potty. [PII Reviewed]"
"57",722612,36,36.6,"II_D_1","I can put my big kid bed in the backroom, and baby boy can have my room because it is quiet.//I had a water park party for my birthday and a water park cake, and my friends came.//Daddy need to close the garage door because we can't leave it open. [PII Reviewed]"
"58",353374,31,31.1,"II_D_1","Thats mommas coffee.//Mommys cold too.//I wanna go to bAth/bed/dance class. [PII Reviewed]"
"59",469822,31,31.4,"II_D_1","No I don't want yucky.//come here mamma, I show you.//Do you like icecream, yes I do. [PII Reviewed]"
"60",617942,25,26.2,"II_D_1","Mommy, give daddy hug and kisses. //Don't want to go in car to Target.//We go to Target now and get snack, maybe bar? [PII Reviewed]"
"61",617942,31,31.1,"II_D_1","Daddy and [NAME] went biking to grocery store and saw a big doggie. //Daddy can we go to [NAME OF PARK] park? //I don't want to go home, you said we play soccer at the park, we didn't play soccer. [PII Reviewed]"
"62",124529,25,25.4,"II_D_1","Here you go mommy/daddy.//I don't want it. //I waked up. [PII Reviewed]"
"63",124529,31,31.2,"II_D_1","Mommy I waked up.//No, I go first.//Where baby [NAME] go? [PII Reviewed]"
"64",863856,28,28.9,"II_D_1","[NAME1] and [NAME2] come over to my house to play Legos. //I want to go to Tball game now.//Auntie [NAME3] come with to go to science place. [PII Reviewed]"
"65",863856,34,NA,"II_D_1","She talks like an adult"
"66",380510,32,33,"II_D_1",NA
"67",185373,26,26.7,"II_D_1",NA
"68",185373,32,32.3,"II_D_1","'-Please mommy, the sun is too bright. I need my sunglasses on.//-Daddy, I want some milky, please... not the water, just milk.//- No mommy, that is not a big rig - that is a white semi truck! [PII Reviewed]"
"69",865762,32,31.8,"II_D_1","I had a good nap. All done with nap. I am happy. [PII Reviewed]"
"70",706050,32,32.2,"II_D_1","When I was on the farm with grandma [NAME] we went to the cabin and I played with the trucks. //Papa took me to the pool and I splashed him. //I don't have a Ryder for my Paw Patrol, can you get one on amazon? I need that one. [PII Reviewed]"
"71",261266,29,29,"II_D_1","i wanna go home. mommy are you sad/happy? that's a big scary monster. [PII Reviewed]"
"72",985303,27,29.1,"II_D_1","Purple giraffe drink water.//Want a towel, mommy.//Want hug Aurelia. [PII Reviewed]"
"73",907184,28,28.3,"II_D_1","Boys mean.//No eggs.//I go with Daddy. [PII Reviewed]"
"74",764612,28,28.4,"II_D_1","this is not yours////I want to go home////I want to see it [PII Reviewed]"
"75",232633,36,36.5,"II_D_1","I pulled cords off because they were broken and I fixed them.//I'm going to scoot and then I'm going to roll it. See, I rolled it. I'll show you how it rolls.//I want leftovers they are very tasty - chicken nuggets. [PII Reviewed]"
"76",111521,29,29.9,"II_D_1",NA
"77",406663,24,25.5,"II_D_1","i want that one//where we going//i dont want it [PII Reviewed]"
"78",648807,21,21.1,"II_D_1","I love you//come on//stop [PII Reviewed]"
"79",648807,27,27.8,"II_D_1","Mom can you lay by me//I want a swimsuit//I see it [PII Reviewed]"
"80",157075,23,26.5,"II_D_1",NA
"81",17541,22,22.8,"II_D_1","Let go, Mommy!//My back pack.//I want cheese. [PII Reviewed]"
"82",758603,19,19.9,"II_D_1",NA
"83",758603,22,22.4,"II_D_1","Thank you much, Mommy//Not nice, sister's name//More orange, please [PII Reviewed]"
"84",758603,25,25.7,"II_D_1","I splash in the pool//I read a book with daddy//Cat did that [PII Reviewed]"
"85",494244,26,26.1,"II_D_1","mommy upstairs, down soon//[NAME] run like daddy//want go pumpkin patch again [PII Reviewed]"
"86",385434,20,21.1,"II_D_1","[NAME] outside, go pee.//More milk mama, please.//I love you, mama. [PII Reviewed]"
"87",385434,26,26.2,"II_D_1","[NAME] wants milk please and get it for dada too.//I went pee-pee on the potty dada, need a sticker.//My turn run circles in my room. [PII Reviewed]"
"88",530066,19,19.8,"II_D_1",NA
"89",530066,22,23.3,"II_D_1","[NAME1] good boy and [NAME2] good boy, too. [PII Reviewed]"
"90",488291,21,24.4,"II_D_1","I read a book. //I ride Daddy's truck?//I wanna do it. [PII Reviewed]"
"91",683764,23,23.5,"II_D_1","Bye-bye my daddy//Thank you momma//Where [NAME] go [PII Reviewed]"
"92",266394,21,21.5,"II_D_1","mama, no//mama, da (ayuda/help)//mama, wa (aqua/water) [PII Reviewed]"
"93",266394,27,27.9,"II_D_1","papa is not home//libro de mama//mama more fish [PII Reviewed]"
"94",607764,21,22.2,"II_D_1",NA
"95",607764,27,27.8,"II_D_1",NA
"96",525955,18,18.3,"II_D_1",NA
"97",912823,26,26.7,"II_D_1",NA
"98",52977,20,21.9,"II_D_1","I readed the book.//Shoes on, go outside.//When's Uncle [NAME] coming? [PII Reviewed]"
"99",52977,26,25.3,"II_D_1","I want to go to the beach and see the big sharks and dinosaurs. (There were dinosaurs at the aquarium on our vacation.)//Let's go cook on the porch. //I want go sleep in the big bed. [PII Reviewed]"
"100",868724,20,21.5,"II_D_1","Daddy go bye bye bye daddy.//No night-night mommy//Cold, brrr, cold. [PII Reviewed]"
"101",868724,26,26.4,"II_D_1","More milk, please, thank you, welcome//Play outside//Daddy go work, bye daddy [PII Reviewed]"
"102",774387,22,22.2,"II_D_1",NA
"103",354404,22,22.1,"II_D_1","Que pasa [NAME], I love you, big truck [PII Reviewed]"
"104",354404,25,26.2,"II_D_1","Where is mama?//Lets go downstairs//What is that? [PII Reviewed]"
"105",576112,24,23.9,"II_D_1","Airplane up sky want brother play  want cereal milk [PII Reviewed]"
"106",395568,18,18.2,"II_D_1",NA
"107",200474,18,18.4,"II_D_1",NA
"108",11228,18,19,"II_D_1","Mommy more me//Daddys hat////Me outside [PII Reviewed]"
"109",223244,20,21,"II_D_1","Bad boy//More milk// [PII Reviewed]"
"110",505525,20,20.9,"II_D_1","Mommy [NAME] outside//More fuffin (muffin)//Egg all gone [PII Reviewed]"
"111",340476,19,19.4,"II_D_1",NA
"112",340476,22,22.5,"II_D_1","Love you, up please, oh buddy [PII Reviewed]"
"113",340476,28,29.3,"II_D_1","Go to Nana and Gramps's house.//Dad, I go pee pee in the potty. //I want Mom to do it. [PII Reviewed]"
"114",418793,18,18.5,"II_D_1","more milk, mas leche, [PII Reviewed]"
"115",418793,26,26.6,"II_D_1","give me that back now mommy [PII Reviewed]"
"116",713347,20,21.3,"II_D_1",NA
"117",51407,18,18.2,"II_D_1","Mama more [PII Reviewed]"
"118",433089,21,23.2,"II_D_1",NA
"119",764726,26,27.4,"II_D_1","No,no Daddy I do it myself. //I don't know Aiden did it.//I love olives.//"
"120",657965,19,21.1,"II_D_1","Go for a drive. Another one mommy. Come on go outside."
"121",273929,26,26.1,"II_D_1","Emma do it//Mommy do it//I want yogurt"
"122",182746,22,NA,"II_D_1","More milk please mama (when prompted to repeat the phrase)"
"123",512716,22,NA,"II_D_1","Mama sing XYZ, Liara's blue water, More please chocolate"
