demo.CandID,demo.age_bin,u1,u1.length,u2,u3
385434,20,"[NAME] outside, go pee.",,"More milk mama, please.","I love you, mama. "
385434,26,[NAME] wants milk please and get it for dada too.,,"I went pee-pee on the potty dada, need a sticker.",My turn run circles in my room. 
406663,24,i want that one,,where we going,i dont want it 
406768,30,I'm going to take a bath tomorrow. ,,,"the doctor gave me strawberries. I like strawberries at home, not at the doctor's. "
418793,18,"more milk, mas leche",,NA,NA
418793,26,give me that back now mommy ,,NA,NA
423548,30,I need to see the dinosaurs and fishies and animals. ,,Mommy mommy come here I need help. ,No I am not ready for nap time. 
425428,30,"Mommy, I did it!",, I don't want to. ,"Daddy, play with me."
469822,31,No I don't want yucky.,,"come here mamma, I show you.","Do you like icecream, yes I do. "
488291,21,I read a book. ,,I ride Daddy's truck?,I wanna do it. 
494244,26,"mommy upstairs, down soon",,[NAME] run like daddy,want go pumpkin patch again 
505525,20,Mommy [NAME] outside,,More fuffin (muffin),Egg all gone 
512716,22,"Mama sing XYZ, ",,"Liara's blue water,", More please chocolate
519250,28,House finished yet?,,Waffle fall down,"""Mommy go to work"" "
519250,34,Can I have a bite of your waffle?,,Can I climb on your head?,"""Is tomorrow a stay home day?"" "
530066,22,"[NAME1] good boy and [NAME2] good boy, too.",,NA,NA
557806,30,i want my milk and cookies on the sofa with ipad right now please,,i want to eat by myself please on the big girl chair,i want to play with my baby brother
576112,24,Airplane up sky want brother play  want cereal milk,,NA,NA
583494,32,I go on bus,,Mommy lay with me,"I tired, put pajamas on "
601017,25,I no like that.,,Please I want more fish.,Where go kitty food? 
601017,31,I pooped in the potty and not in my underwear.,,I need the carrot please [NAME1],Here come's Mr. Broccoli and here comes [NAME2]! 
617942,25,"Mommy, give daddy hug and kisses. ",,Don't want to go in car to Target.,"We go to Target now and get snack, maybe bar? "
617942,31,Daddy and [NAME] went biking to grocery store and saw a big doggie. ,,Daddy can we go to [NAME OF PARK] park? ,"I don't want to go home, you said we play soccer at the park, we didn't play soccer. "
648807,21,I love you,,come on,stop 
648807,27,Mom can you lay by me,,I want a swimsuit,I see it 
657965,19,Go for a drive.,, Another one mommy. ,Come on go outside.
675362,36,Mommy's gonna do a couch nap and then I sleep for a little bit and then I put my boots on and go to my crib.,,[NAME] tooked my book when I was using it and then he went BAM on me like this and it hurted.,We're going to be scientists and my blankie and my wubba and my monkey and my Oso are gonna come too. 
676274,25,momma/daddy go to work,,i don't like it,i drink the milk 
676274,31,I cook dinner for you,,I drive mommy's car,I wanna watch Daniel Tiger 
676274,37,"I want a snack before dinner, Daddy.",,"First we go potty, then nap, then make cookies, then go outside.",Can we go to Grandma's house? 
683764,23,Bye-bye my daddy,,Thank you momma,Where [NAME] go 
706050,32,When I was on the farm with grandma [NAME] we went to the cabin and I played with the trucks. ,,Papa took me to the pool and I splashed him. ,"I don't have a Ryder for my Paw Patrol, can you get one on amazon? I need that one. "
722612,30,My friend [NAME] is in the Nature room.,,Went down to the gym and watch animal videos.,I gotta big prize for going pee pee on the potty. 
722612,36,"I can put my big kid bed in the backroom, and baby boy can have my room because it is quiet.",,"I had a water park party for my birthday and a water park cake, and my friends came.",Daddy need to close the garage door because we can't leave it open. 
755330,30,"That not a bathroom, that a port-a-potty",,"I no pee in your car, Mommy",Two blue cars like Mama's 
758603,22,"Thank you much, Mommy",,"Not nice, sister's name","More orange, please "
758603,25,I splash in the pool,,I read a book with daddy,Cat did that 
764612,28,this is not yours,,,I want to go home
764726,26,"No,no Daddy I do it myself. ",,I don't know Aiden did it.,I love olives.
801091,30,"Go outside, yeah. ",,"Thank you (mama, dada, etc.)","Bye bye (mama, dada, etc.)"
812574,30,I saw the sweeper truck in the parking lot but it gone now.,,NA,NA
826360,29,My grandma is your mommy and Grandpa is your daddy.,,Farfar and Grandma [NAME] belong to daddy.,I want to go with and dig in the dirt.
826360,35,"I don't want to go to sleep, I want to be nocturnal.",,"I'm so exciting, we are going to the science museum today!","[NAME1] was there, but [NAME2] was at school. "
830201,31,I don't need a diaper change now.,,"Did daddy go to work, Momma?","[NAME], where are you, [NAME]?"
830201,37,I hit the ball over the fence.,,Did we go swimming today?,I want hot dogs for dinner but [NAME] doesn't. 
863856,28,[NAME1] and [NAME2] come over to my house to play Legos. ,,I want to go to Tball game now.,Auntie [NAME3] come with to go to science place. 
863856,34,She talks like an adult,,NA,NA
865762,32,I had a good nap.,,All done with nap. ,I am happy.
868724,20,Daddy go bye bye bye daddy.,,No night-night mommy,"Cold, brrr, cold. "
868724,26,"More milk, please, thank you, welcome",,Play outside,"Daddy go work, bye daddy "
879509,30,"Actually mama, I want the string cheese instead of the apple for my snack",,Look at those spooky decorations our neighbors have for Halloween,"Baby Jack can play with my blocks and my recorder, but he can't play with my paw patrol dog or my turtle"
883901,30,My mommy is coming back after lunch and I don't have to take a nap.,,My daddy went on an airplane to [NAME OF COUNTRY].,My baby needs a snack because she is hungry. 
907184,28,Boys mean.,,No eggs.,I go with Daddy. 
908191,28,"Mommy, I want to go to the park and play on the slide that is so big and tall!",,NA,NA
908191,34,NA,,NA,NA
927564,30,"Mama, time to go now?",,Monsters live there. ,"Daddy go work, mom? "
932286,30,"No daddy, I want more juice",,I don't want it,I will help you 
940808,30,I want Daddy to stay home all day and play with [NAME] and me.,,Please put more water in my water bottle and bring it to me.,I want to read 8 more books before bedtime.
978698,30,"I'm going to the park with Mama and Daddy, Okay?",,"Doctor hurt Mama's tummy, she feels sad.","First we take a nap, then we go to target? "
985303,27,Purple giraffe drink water.,,"Want a towel, mommy.",Want hug Aurelia. 
