category,item_definition,item_id,item_kind
clothing,jacket,item_137,word
clothing,jeans,item_138,word
clothing,necklace,item_139,word
clothing,pajamas,item_140,word
clothing,pants,item_141,word
clothing,shirt,item_142,word
clothing,shoe,item_143,word
clothing,shorts,item_144,word
clothing,sock,item_145,word
clothing,sweater,item_146,word
clothing,zipper,item_147,word
body_parts,arm,item_148,word
body_parts,belly button,item_149,word
body_parts,cheek,item_150,word
body_parts,ear,item_151,word
body_parts,eye,item_152,word
body_parts,face,item_153,word
body_parts,foot,item_154,word
body_parts,finger,item_155,word
body_parts,hair,item_156,word
body_parts,hand,item_157,word
body_parts,head,item_158,word
body_parts,knee,item_159,word
body_parts,leg,item_160,word
body_parts,mouth,item_161,word
body_parts,nose,item_162,word
body_parts,owie/boo boo,item_163,word
body_parts,tooth,item_164,word
body_parts,toe,item_165,word
body_parts,tongue,item_166,word
body_parts,tummy,item_167,word
furniture_rooms,bathroom,item_168,word
furniture_rooms,bathtub,item_169,word
furniture_rooms,bed,item_170,word
furniture_rooms,bedroom,item_171,word
furniture_rooms,chair,item_172,word
furniture_rooms,couch,item_173,word
furniture_rooms,crib,item_174,word
furniture_rooms,door,item_175,word
furniture_rooms,drawer,item_176,word
furniture_rooms,garage,item_177,word
furniture_rooms,high chair,item_178,word
furniture_rooms,kitchen,item_179,word
furniture_rooms,living room,item_180,word
furniture_rooms,oven,item_181,word
furniture_rooms,play pen,item_182,word
furniture_rooms,potty,item_183,word
furniture_rooms,refrigerator,item_184,word
furniture_rooms,rocking chair,item_185,word
furniture_rooms,sink,item_186,word
furniture_rooms,stairs,item_187,word
furniture_rooms,stove,item_188,word
furniture_rooms,table,item_189,word
furniture_rooms,TV,item_190,word
furniture_rooms,window,item_191,word
household,blanket,item_192,word
household,bottle,item_193,word
household,bowl,item_194,word
household,box,item_195,word
household,broom,item_196,word
household,brush,item_197,word
household,clock,item_198,word
household,comb,item_199,word
household,cup,item_200,word
household,dish,item_201,word
household,fork,item_202,word
household,glass,item_203,word
household,glasses,item_204,word
household,hammer,item_205,word
household,keys,item_206,word
household,lamp,item_207,word
household,light,item_208,word
household,medicine,item_209,word
household,money,item_210,word
household,paper,item_211,word
household,penny,item_212,word
household,picture,item_213,word
household,pillow,item_214,word
household,plant,item_215,word
household,plate,item_216,word
household,purse,item_217,word
household,radio,item_218,word
household,scissors,item_219,word
household,soap,item_220,word
household,spoon,item_221,word
household,telephone,item_222,word
household,toothbrush,item_223,word
household,towel,item_224,word
household,trash,item_225,word
household,vacuum,item_226,word
household,watch (object),item_227,word
outside,backyard,item_228,word
outside,beach,item_229,word
outside,church*,item_230,word
outside,flower,item_231,word
outside,garden,item_232,word
outside,home,item_233,word
outside,house,item_234,word
outside,moon,item_235,word
outside,outside,item_236,word
outside,park,item_237,word
outside,party,item_238,word
outside,pool,item_239,word
outside,rain,item_240,word
outside,rock,item_241,word
outside,school,item_242,word
outside,shovel,item_243,word
outside,sky,item_244,word
outside,slide (object),item_245,word
outside,snow,item_246,word
outside,star,item_247,word
outside,store,item_248,word
outside,sun,item_249,word
outside,swing (object),item_250,word
outside,tree,item_251,word
outside,water (not beverage),item_252,word
outside,work (place),item_253,word
outside,zoo,item_254,word
people,aunt,item_255,word
people,baby,item_256,word
people,babysitter,item_257,word
people,babysitter's name,item_258,word
people,boy,item_259,word
people,brother,item_260,word
people,child,item_261,word
people,daddy*,item_262,word
people,girl,item_263,word
people,grandma*,item_264,word
people,grandpa*,item_265,word
people,lady,item_266,word
people,man,item_267,word
people,mommy*,item_268,word
people,child's own name,item_269,word
people,people,item_270,word
people,person,item_271,word
people,sister,item_272,word
people,teacher,item_273,word
people,uncle,item_274,word
games_routines,bath,item_275,word
games_routines,breakfast,item_276,word
games_routines,bye,item_277,word
games_routines,dinner,item_278,word
games_routines,don't,item_279,word
games_routines,hello,item_280,word
games_routines,hi,item_281,word
games_routines,lunch,item_282,word
games_routines,nap,item_283,word
games_routines,night night,item_284,word
games_routines,no,item_285,word
games_routines,pattycake,item_286,word
games_routines,peekaboo,item_287,word
games_routines,please,item_288,word
games_routines,shh/shush/hush,item_289,word
games_routines,thank you,item_290,word
games_routines,wait,item_291,word
games_routines,wanna/want to,item_292,word
games_routines,yes,item_293,word
action_words,bite,item_294,word
action_words,blow,item_295,word
action_words,break,item_296,word
action_words,bring,item_297,word
action_words,bump,item_298,word
action_words,clean (action),item_299,word
action_words,close,item_300,word
action_words,cry,item_301,word
action_words,dance,item_302,word
action_words,draw,item_303,word
action_words,drink (action),item_304,word
action_words,drive,item_305,word
action_words,eat,item_306,word
action_words,fall,item_307,word
action_words,feed,item_308,word
action_words,finish,item_309,word
action_words,get,item_310,word
action_words,give,item_311,word
action_words,go,item_312,word
action_words,help,item_313,word
action_words,hit,item_314,word
action_words,hug,item_315,word
action_words,hurry,item_316,word
action_words,jump,item_317,word
action_words,kick,item_318,word
action_words,kiss,item_319,word
action_words,look,item_320,word
action_words,love,item_321,word
action_words,open,item_322,word
action_words,play,item_323,word
action_words,pull,item_324,word
action_words,push,item_325,word
action_words,put,item_326,word
action_words,read,item_327,word
action_words,ride,item_328,word
action_words,run,item_329,word
action_words,say,item_330,word
action_words,see,item_331,word
action_words,show,item_332,word
action_words,sing,item_333,word
action_words,sleep,item_334,word
action_words,smile,item_335,word
action_words,splash,item_336,word
action_words,stop,item_337,word
action_words,swim,item_338,word
action_words,swing (action),item_339,word
action_words,take,item_340,word
action_words,throw,item_341,word
action_words,tickle,item_342,word
action_words,touch,item_343,word
action_words,watch (action),item_344,word
action_words,walk,item_345,word
action_words,wash,item_346,word
action_words,wipe,item_347,word
action_words,write,item_348,word
time_words,day,item_349,word
time_words,later,item_350,word
time_words,morning,item_351,word
time_words,night,item_352,word
time_words,now,item_353,word
time_words,today,item_354,word
time_words,tomorrow,item_355,word
time_words,tonight,item_356,word
descriptive_words,all gone,item_357,word
descriptive_words,asleep,item_358,word
descriptive_words,bad,item_359,word
descriptive_words,big,item_360,word
descriptive_words,blue,item_361,word
descriptive_words,broken,item_362,word
descriptive_words,careful,item_363,word
descriptive_words,clean (description),item_364,word
descriptive_words,cold,item_365,word
descriptive_words,cute,item_366,word
descriptive_words,dark,item_367,word
descriptive_words,dirty,item_368,word
descriptive_words,dry (description),item_369,word
descriptive_words,empty,item_370,word
descriptive_words,fast,item_371,word
descriptive_words,fine,item_372,word
descriptive_words,gentle,item_373,word
descriptive_words,good,item_374,word
descriptive_words,happy,item_375,word
descriptive_words,hard,item_376,word
descriptive_words,hot,item_377,word
descriptive_words,hungry,item_378,word
descriptive_words,hurt,item_379,word
descriptive_words,little (description),item_380,word
descriptive_words,naughty,item_381,word
descriptive_words,nice,item_382,word
descriptive_words,old,item_383,word
descriptive_words,pretty,item_384,word
descriptive_words,red,item_385,word
descriptive_words,scared,item_386,word
descriptive_words,sick,item_387,word
descriptive_words,sleepy,item_388,word
descriptive_words,soft,item_389,word
descriptive_words,thirsty,item_390,word
descriptive_words,tired,item_391,word
descriptive_words,wet,item_392,word
descriptive_words,yucky,item_393,word
pronouns,his,item_394,word
pronouns,her,item_395,word
pronouns,I,item_396,word
pronouns,it,item_397,word
pronouns,me,item_398,word
pronouns,mine,item_399,word
pronouns,my,item_400,word
pronouns,that,item_401,word
pronouns,this,item_402,word
pronouns,you,item_403,word
pronouns,your,item_404,word
question_words,how,item_405,word
question_words,what,item_406,word
question_words,when,item_407,word
question_words,where,item_408,word
question_words,who,item_409,word
question_words,why,item_410,word
locations,away,item_411,word
locations,back,item_412,word
locations,down,item_413,word
locations,in,item_414,word
locations,inside,item_415,word
locations,off,item_416,word
locations,on,item_417,word
locations,out,item_418,word
locations,there,item_419,word
locations,under,item_420,word
locations,up,item_421,word
quantifiers,all,item_422,word
quantifiers,another,item_423,word
quantifiers,more,item_424,word
quantifiers,none,item_425,word
quantifiers,not,item_426,word
quantifiers,other,item_427,word
quantifiers,same,item_428,word
quantifiers,some,item_429,word
gestures_first,armshow,item_430,gestures_first
gestures_first,reachout,item_431,gestures_first
gestures_first,points,item_432,gestures_first
gestures_first,waves,item_433,gestures_first
gestures_first,pickup,item_434,gestures_first
gestures_first,shakhead,item_435,gestures_first
gestures_first,nodhead,item_436,gestures_first
gestures_first,showhush,item_437,gestures_first
gestures_first,request,item_438,gestures_first
gestures_first,blowkiss,item_439,gestures_first
gestures_first,smacklip,item_440,gestures_first
gestures_first,shrugs,item_441,gestures_first
gestures_games,playpeek,item_442,gestures_games
gestures_games,patycak2,item_443,gestures_games
gestures_games,sobig,item_444,gestures_games
gestures_games,dojump,item_445,gestures_games
gestures_games,dosing,item_446,gestures_games
gestures_games,dodance,item_447,gestures_games
gestures_objects,eatspoon,item_448,gestures_objects
gestures_objects,drinkcup,item_449,gestures_objects
gestures_objects,combhair,item_450,gestures_objects
gestures_objects,bshteeth,item_451,gestures_objects
gestures_objects,wipeface,item_452,gestures_objects
gestures_objects,puthat,item_453,gestures_objects
gestures_objects,putshoe,item_454,gestures_objects
gestures_objects,putwatch,item_455,gestures_objects
gestures_objects,ptdsleep,item_456,gestures_objects
gestures_objects,blowhot,item_457,gestures_objects
gestures_objects,flyplane,item_458,gestures_objects
gestures_objects,ptndtele,item_459,gestures_objects
gestures_objects,snifflow,item_460,gestures_objects
gestures_objects,pushcar,item_461,gestures_objects
gestures_objects,throwges,item_462,gestures_objects
gestures_objects,ptndpour,item_463,gestures_objects
gestures_objects,ptndstir,item_464,gestures_objects
gestures_parent,putobed,item_465,gestures_parent
gestures_parent,cover,item_466,gestures_parent
gestures_parent,feedbotl,item_467,gestures_parent
gestures_parent,feedspon,item_468,gestures_parent
gestures_parent,brushit,item_469,gestures_parent
gestures_parent,burbit,item_470,gestures_parent
gestures_parent,pushit,item_471,gestures_parent
gestures_parent,rockit,item_472,gestures_parent
gestures_parent,kissit,item_473,gestures_parent
gestures_parent,dressit,item_474,gestures_parent
gestures_parent,wipeit,item_475,gestures_parent
gestures_parent,talkit,item_476,gestures_parent
gestures_parent,diaperit,item_477,gestures_parent
gestures_adult,sweep,item_478,gestures_adult
gestures_adult,putkey,item_479,gestures_adult
gestures_adult,pound,item_480,gestures_adult
gestures_adult,usesaw,item_481,gestures_adult
gestures_adult,type,item_482,gestures_adult
gestures_adult,ptndread,item_483,gestures_adult
gestures_adult,dovacuum,item_484,gestures_adult
gestures_adult,waterplt,item_485,gestures_adult
gestures_adult,playmus,item_486,gestures_adult
gestures_adult,ptnddriv,item_487,gestures_adult
gestures_adult,washdish,item_488,gestures_adult
gestures_adult,usecloth,item_489,gestures_adult
gestures_adult,usepen,item_490,gestures_adult
gestures_adult,dig,item_491,gestures_adult
gestures_adult,wearglas,item_492,gestures_adult
